# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2025-07-22,Nano Bitcoin,53640,2738,36222,0,0,-33484.0,2025-07-25
2025-07-29,BITCOIN,28068,3776,19584,9003,455,-15808.0,2025-08-01
2025-07-29,MICRO BITCOIN,25892,4429,19216,3192,269,-14787.0,2025-08-01
2025-07-29,NANO BITCOIN PERP STYLE,21199,2069,13244,0,0,-11175.0,2025-08-01
2025-07-29,Nano Bitcoin,54771,7235,36675,0,0,-29440.0,2025-08-01
2025-08-05,BITCOIN,27561,4889,18987,8379,420,-14098.0,2025-08-08
2025-08-05,MICRO BITCOIN,32895,5793,25135,3265,425,-19342.0,2025-08-08
2025-08-05,NANO BITCOIN PERP STYLE,31941,458,27218,0,0,-26760.0,2025-08-08
2025-08-05,Nano Bitcoin,53935,7481,42916,0,0,-35435.0,2025-08-08
2025-08-12,BITCOIN,27851,4120,19736,8858,420,-15616.0,2025-08-15
2025-08-12,MICRO BITCOIN,37513,7570,30804,3700,271,-23234.0,2025-08-15
2025-08-12,NANO BITCOIN PERP STYLE,32794,2098,18775,0,0,-16677.0,2025-08-15
2025-08-12,Nano Bitcoin,51868,6521,42972,0,0,-36451.0,2025-08-15
2025-08-19,BITCOIN,28971,4322,19148,8401,439,-14826.0,2025-08-22
2025-08-19,MICRO BITCOIN,37022,8378,29311,2413,474,-20933.0,2025-08-22
2025-08-19,NANO BITCOIN PERP STYLE,37893,3317,21535,0,0,-18218.0,2025-08-22
2025-08-19,Nano Bitcoin,52972,9689,45333,0,0,-35644.0,2025-08-22
2025-08-26,BITCOIN,27481,3581,18587,8397,441,-15006.0,2025-08-29
2025-08-26,MICRO BITCOIN,44851,12878,36331,2274,548,-23453.0,2025-08-29
2025-08-26,NANO BITCOIN PERP STYLE,51853,7591,29406,0,0,-21815.0,2025-08-29
2025-08-26,Nano Bitcoin,44725,5058,35348,0,0,-30290.0,2025-08-29
2025-09-02,BITCOIN,26684,2848,18170,8709,510,-15322.0,2025-09-05
2025-09-02,MICRO BITCOIN,30114,11945,21113,2108,685,-9168.0,2025-09-05
2025-09-02,NANO BITCOIN PERP STYLE,52477,10703,24477,0,0,-13774.0,2025-09-05
2025-09-02,Nano Bitcoin,42480,7578,27472,0,0,-19894.0,2025-09-05
